Symbol	Entrez Gene Name	Location	Type(s)	expressed in human macrophages	expressed in mouse macrophages	"Cell or tissue expression, human"	"Cell or tissue expression, mouse"
ENO1	"enolase 1, (alpha)"	Cytoplasm	transcription regulator	"monocytes (11907116), monocyte-derived macrophages (9665274)"	"thioglycollate-elicited peritoneal macrophages (17690254), J774 cell line (15698949), RAW264.7 cell line (17690254)"	"pancreatic cancer cell lines, lymphoma cell lines, leukemia cell lines, brain cancer cell lines, colon cancer cell lines, hippocampus, pancreatic adenocarcinoma, placenta, breast cancer cell lines, cervical cancer cell lines, cornea, epithelial cells, eye, monocytes, pancreatic tissue, B lymphocytes, adenocarcinoma cell lines, amnion, blood cells, breast, breast milk, chorion, colostrum, cytotrophoblastic cells, duct cells, fibroblast-like synoviocytes, heart tissue, intraductal papillary mucinous neoplasm, keratinocytes, knee, macrophages, mesenchymal stem cells, ovarian tissue, pancreas, plasma, sputum, synovial membrane, tear, umbilical cord, urine, Other"	"macrophage cancer cell lines, peritoneal macrophages, bone marrow cell lines, cerebellum, hematopoietic cell lines, bladder tissue, brain, brown adipose tissue, cells, cerebrospinal fluid, cortical astrocytes, detrusor muscle, effector T lymphocytes, erythroid progenitor cells, fibroblast cell lines, leukocyte cell lines, leukocytes, lung, lung adenocarcinoma, nerve process, nervous tissue cell lines, peripheral blood monocytes, retina, skeletal muscle, uterus, Other"
FTH1 (includes EG:14319)	"ferritin, heavy polypeptide 1"	Cytoplasm	enzyme	"monocytes (10419873), monocyte-derived macrophages (9665274)"	J774 cell line (11149929)	"breast cancer cell lines, cervical cancer cell lines, brain, leukemia cell lines, bone marrow, cerebral cortex, erythroblasts, lung cancer cell lines, lymphoma cell lines, cerebellum, lens, lymphoblastoid cell lines, RPE cells, brain cancer cell lines, carcinoma cell lines, dendritic cells, embryonic stem cells, eye, fibroblast-like synoviocytes, fibroblasts, forebrain, gingiva, globus pallidus, hepatocellular carcinoma, hepatocytes, hepatoma cell lines, hippocampal CA1 region, knee, liver, macrophages, melanoma cell lines, mesenchymal stem cells, microglia, neural precursor cells, neuropil, parietal lobe, perineuronal plexus, peripheral blood monocytes, plasma, pyramidal cell layer, sarcoma cell lines, substantia nigra, synovial membrane, tear, urine, Other"	"astrocytes, microglia, neural stem cells, retina, corpus callosum, lymphoma cell lines, cerebral cortex, fibroblast cell lines, gray matter, implantation site, leukocyte cell lines, liver, photoreceptor cells, uterus, bipolar cells, bone marrow cell lines, cerebellum, fibroblasts, fibrosarcoma cell lines, heart, hematopoietic cell lines, inner plexiform layer, liver cell lines, outer plexiform layer, podocytes"
GM2A	GM2 ganglioside activator	Cytoplasm	enzyme	not known	not known	"cerebrospinal fluid, urine, brain, breast cell lines, liver, ovarian cancer cell lines, spleen, Other"	uterus
GNS	glucosamine (N-acetyl)-6-sulfatase	Cytoplasm	enzyme	not known	not known	"breast cancer cell lines, HUVEC cells, bone cancer cell lines, lymphoma cell lines, urine"	not known
GPNMB	glycoprotein (transmembrane) nmb	Plasma Membrane	enzyme	"monocytes (15634905), monocyte-derived macrophages (9665274)"	"monocytes (17475886), bone marrow-derived macrophages (17475886), J774 cell line (17475886), RAW264.7 cell line (17475886)"	"peripheral blood, breast cell lines, dendritic cells, monocytes, PBMCs, cord blood cells, lung, pancreas, epidermis, epithelial cell lines, heart, kidney, liver, macrophages, mast cells, monocyte-derived dendritic cells, placenta, skeletal muscle, squamous-cell carcinoma, tumor tissue, urine, Other"	"leukocyte cell lines, nervous tissue cell lines, bone marrow-derived macrophages, macrophage cancer cell lines, adipose tissue, bone marrow cell lines, bone marrow cells, bone marrow-derived dendritic cells, epidermis, fibroblast cell lines, hematopoietic cell lines, liver, lung, monocytes, skin, spleen, thymus tissue"
GPX1 (includes EG:14775)	glutathione peroxidase 1	Cytoplasm	enzyme	not known	not known	"pancreatic cancer cell lines, red blood cells, hepatoma cell lines, leukemia cell lines, leukocyte cell lines, HUVEC cells, kidney cancer cell lines, lung, pancreas, plasma cells, squamous cell carcinoma cell lines, adrenal gland, astrocytoma, bone marrow, carcinoma cell lines, colon cancer cell lines, endometrium, fibroblast cell lines, follicular fluid, foreskin of penis, keratinocytes, lung cancer cell lines, mesothelioma cell lines, myeloma cell lines, myometrium, neuroblastoma cell lines, non-small-cell lung carcinoma, plasma, seminal plasma, skin cancer cell lines, skin tissue, sperm, tear, tonsil, tumor, Other"	"brain, cerebellar cortex, cerebral neocortex, liver, islets of Langerhans, kidney, T lymphocytes, memory T lymphocytes, accessory olfactory bulb, anterior cingulate cortex, anterior olfactory nucleus, basal ganglia, bed nucleus of stria terminalis, bone marrow, bone marrow cell lines, breast cancer cell lines, cerebellar lingula, cerebellar vermian lobule IV-V, cerebellar vermian lobule VI, cerebral cortex, colon, copula pyramidis, crus 1, crus 2, dentate gyrus, ectorhinal cortex, embryonic cell lines, erythroblasts, erythroid cancer cell lines, fibroblast cell lines, fibroblasts, fibrosarcoma cell lines, folium-tuber vermis, frontal pole, globus pallidus, hematopoietic cell lines, hematopoietic progenitor cells, hippocampal CA1 region, hippocampal CA2 region, hippocampal CA3 region, hippocampus, lobule II, lobule iii, lobule iv, magnocellular nucleus, nodulus, olfactory bulb, paramedian lobule, piriform cortex, plasma, posterior parietal association area, pyramus, retrosplenial cortex, simple lobule, somatomotor cortex, somatosensory cortex, spleen, striatum, subiculum, tenia tecta, testis, uvula of cerebellum, vermian lobule V, visual cortex"
GRN	granulin	Extracellular Space	growth factor	monocyte-derived macrophages (9665274)	not known	"breast cancer cell lines, kidney cell lines, leukemia cell lines, anaplastic astrocytoma, breast cell lines, cervical cancer cell lines, fibroblast cell lines, glioblastoma, urine, acute myeloid leukemia blast cells, bone marrow, brain cancer cell lines, cell-associated matrix, chondrocytes, embryonic cell lines, epithelial cell lines, glioma, kidney, lymphoma cell lines, macrophages, mucosa, oligodendroglioma, plasma, pyloric antrum, skin cancer cell lines, skin cell lines, spleen, testis, tumor cells, xanthoastrocytoma, Other"	"chondrocytes, growth plate, long bones, cerebral cortex, adipose cell lines, bone marrow-derived neutrophils, cartilage tissue, fibroblast cell lines, liver, proliferative zone, skin, zone of hypertrophy"
GSTO1	glutathione S-transferase omega 1	Cytoplasm	enzyme	not known	not known	"HUVEC cells, adrenal gland, brain cancer cell lines, brain tissue, colonic tissue, heart, heart tissue, kidney, kidney tissue, liposarcoma, liver, lung, lung tissue, melanoma cell lines, muscle, ovarian tissue, pancreas, pancreatic tissue, placental tissue, plasma, prostatic tissue, red blood cells, skin cell lines, spleen tissue, stomach, testicular cells, testis, urine, Other"	"lymphoma cell lines, cornea, liver, olfactory epithelium, brain, heart, keratocytes, kidney, lacrimal gland, lung, pancreatic cancer cell lines, skeletal muscle, skin, spleen, submandibular gland"
GUSB	"glucuronidase, beta"	Cytoplasm	enzyme	not known	J774 cell line (11149929)	"brain, liver, synovial fibroblasts, adrenal gland, heart, kidney, lung, placenta, prostate gland, salivary gland, skeletal muscle, small intestine, spleen, testis, thymus gland, thyroid gland, trachea, urine, uterus, T lymphocytes, basophils, bone marrow, breast cancer cell lines, cerebellum, cervical cancer cell lines, colon, hepatoma cell lines, large granular lymphocytes, lymphocytes, lymphoma cell lines, plasma, plasma cells, spinal cord, stomach"	"dendritic cells, kidney, liver, spleen, leukocyte cell lines, B-lymphocyte derived cell lines, blood platelets, bone marrow cell lines, brain, brain tissue, brown adipose tissue, fibroblasts, heart, hematopoietic cell lines, kidney tissue, liver tissue, mesangial cells, renal glomerulus, skeletal muscle, spleen tissue, white adipose tissue"
HEXB	hexosaminidase B (beta polypeptide)	Cytoplasm	enzyme	not known	"bone marrow-derived macrophages (16179011), J774 cell line (11149929)"	"plasma cells, B lymphocytes, fibroblasts, liver, synovial fibroblasts, Langerhans cells, T lymphocytes, blood, bone marrow, breast cancer cell lines, carcinoma cell lines, dendritic cells, eosinophils, epidermis, lymphoma cell lines, monocyte-derived dendritic cells, plasma, tonsil, urine, Other"	"bone marrow cell lines, hematopoietic cell lines, leukocyte cell lines, bone marrow-derived macrophages, fibroblasts "
HINT1	histidine triad nucleotide binding protein 1	Nucleus	enzyme	not known	not known	"breast cancer cell lines, breast, ductal carcinoma, brain cancer cell lines, cervical cancer cell lines, colon cancer cell lines, ductal carcinoma in situ, endometrium, glandular epithelial cells, lymph node, Other"	"epithelial cells, kidney, brain, brain tissue, cells, colon, distal tubule cells, dorsal root ganglion, epithelial tissue, fibroblast cell lines, gastrointestinal tract, germ cells, heart, heart tissue, intestine, kidney tissue, liver cell lines, liver tissue, mucosa cells, myenteric plexus, neurons, proximal convoluted tubule, pyramidal neurons, renal glomerulus, small intestine, spleen tissue, stomach, stratified epithelium, striatum, testis, trigeminal ganglion, vestibulocochlear cranial nerve ganglion"
HSPA8	heat shock 70kDa protein 8	Cytoplasm	enzyme	monocytes (17597071)	J774 cell line (11149929)	"colon cancer cell lines, cervical cancer cell lines, leukemia cell lines, leukocyte cell lines, kidney cell lines, fibroblast cell lines, breast cancer cell lines, epithelial cell lines, lymphoma cell lines, hepatoma cell lines, ovarian cancer cell lines, B-lymphocyte derived cell lines, adenocarcinoma cell lines, breast cell lines, embryonic cell lines, fibroblast-like synoviocytes, prostate cancer cell lines, prostate gland, prostatic carcinoma, PBMCs, bone marrow cells, brain cancer cell lines, carcinoma cell lines, colostrum, epithelial cells, fibrosarcoma cell lines, heart tissue, lung cancer cell lines, lung cell lines, neurons, prostate cancer cells, pyramidal cell layer, skin cancer cell lines, stomach cancer cell lines, urine, B lymphocytes, HUVEC cells, Th1 cells, astrocytoma, basal cells, blood platelets, bone cancer cell lines, bone marrow-derived dendritic cells, brain, breast milk, cancer cells, cells, cerebral neocortex, cerebrospinal fluid, colon, dendritic cells, endocrine cell lines, epithelial tissue, esophagus, fibroblasts, glioblastoma, helper T lymphocytes, hippocampal CA3 region, hippocampal CA4 region, internal thoracic artery, kidney cancer cell lines, knee, leiomyoma, liver, liver cancer cells, lumen, lymphoblastoid cell lines, megakaryocytes, melanoma cell lines, memory T lymphocytes, mesencephalon, microvascular endothelial cells, monocytes, neuroblastoma cell lines, neutrophils, ovary, pancreatic tissue, peripheral blood, plasma, pons, prostate cell lines, skeletal muscle, skin cell lines, smooth muscle cells, stromal cells, synovial membrane, tear, tracheobronchial tissue, tumor, Other"	"spleen cell lines, bone marrow cell lines, brain, hematopoietic cell lines, liver, neuroblastoma cell lines, bone marrow, dendritic cells, fibroblast cell lines, implantation site, islets of Langerhans, placenta, spleen, uterus, B lymphocytes, T lymphocytes, bone marrow-derived dendritic cells, cerebral cortex, ectoplacental cone, embryonic cell lines, embryonic stem cell lines, epithelial cell lines, fibroblasts, fibrosarcoma cell lines, leukocyte cell lines, mantle layer, neural tube, skeletal muscle, skin cell lines, stem cell lines, striatum, trophoblast giant cells, Other"
HSPD1	heat shock 60kDa protein 1 (chaperonin)	Cytoplasm	enzyme	not known	J774 cell line (8022799)	"cervical cancer cell lines, prostate cancer cell lines, breast cancer cell lines, epithelial cell lines, epithelial cells, breast cell lines, cerebral neocortex, colon cancer cell lines, fibroblast cell lines, leukocyte cell lines, prostate gland, reactive astrocytes, white matter, embryonic cell lines, hepatoma cell lines, kidney cell lines, leukemia cell lines, lung carcinoma, lung cell lines, neointimal lesion, neuroblastoma cell lines, plasma, HUVEC cells, PBMCs, bone cancer cell lines, breast, breast carcinoma, carcinoma cell lines, colon, colon carcinoma, colorectal adenocarcinoma, endometrial cancer cell lines, endometrial cells, eye cell lines, fibroblast-like synoviocytes, hair follicle, hepatocytes, intestinal cells, kidney, knee, liver, lung cancer cell lines, neutrophils, peritoneal exudate cells, prostate cell lines, renal-cell carcinoma, scalp, stromal cells, synovial membrane, tracheobronchial tissue, uterine cancer cell lines, venous blood"	"fibroblast cell lines, gastric mucosa, bone marrow cell lines, hematopoietic cell lines, islets of Langerhans, olfactory epithelium, placenta, brain, cerebral cortex, cortical neurons, ectoplacental cone, leukocyte cell lines, liver, oocytes, trophoblast giant cells, Other"
IFI30	"interferon, gamma-inducible protein 30"	Cytoplasm	enzyme	monocyte-derived macrophages (9665274)	J774 cell line (11149929)	"B lymphoblastoid cell lines, lymphoblastoid cell lines, lymphoma cell lines, breast cancer cell lines, leukocyte cell lines, B-lymphocyte derived cell lines, ductal carcinoma, myometrium, B-lymphoblastoid cells, HUVEC cells, PBMCs, T lymphocytes, bone marrow cell lines, breast, granulocytes, hemangioma, hematopoietic cell lines, lymph node, macrophages, mediastinal large B-cell lymphoma, mononuclear leukocytes, neutrophils, pancreas, peripheral blood, placenta, tumor tissue, unspecified cell lines, urine"	"bone marrow cell lines, gastrocnemius, hematopoietic cell lines, leukocyte cell lines, naive B cells"
ITGB2	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"	Plasma Membrane	other	"monocytes (16418329), monocyte-derived macrophages (19834619), microglia (16365156)"	"bone marrow-derived macrophages (9637533), resident peritoneal macrophages (10925298), microglia (12646653), alveolar macrophages (10925298), J774 cell line (12121661), RAW264.7 cell line (12244186)"	"leukemia cell lines, neutrophils, peripheral blood, T lymphocytes, lymphoma cell lines, blood, breast cancer cell lines, dendritic cells, leukocyte cell lines, leukocytes, monocytes, blood vessel, granulocytes, macrophages, monocyte-derived macrophages, peripheral blood monocytes, tonsil, B lymphocytes, PBMCs, carcinoma cell lines, keratinocytes, lymphoblastoid cell lines, peripheral blood lymphocytes, HUVEC cells, bone marrow, breast carcinoma, centroblasts, colon cancer cell lines, colon carcinoma, embryonic cell lines, epithelial cell lines, kidney cell lines, lung cancer cell lines, lymphocytes, mast cells, microglia, microvascular endothelial cells, mononuclear leukocytes, natural killer cells, reticulocytes, HCAEC cells, Th1 cells, acute myeloid leukemia blast cells, basophils, breast, centrocytes, decidual natural killer cells, dermis, endocrine cell lines, endometrium, eosinophils, fibrocytes, foreskin of penis, germinal center, heart, hematopoietic progenitor cells, intestine, melanoma cell lines, memory B cells, mesenchymal cells, myeloma cell lines, naive B cells, peripheral T lymphocyte, peripheral blood natural killer cells, plasmacytoid dendritic cells, prostate cancer cell lines, psoriatic lesion, red pulp, thyroid tumor cell lines, tumor tissue, vasculature, Other"	"neutrophils, leukocyte cell lines, T lymphocytes, embryonic cell lines, embryonic stem cell lines, spleen, stem cell lines, BMMC cells, bone marrow stromal cells, femur, forebrain, hematopoietic cell lines, microglia, nervous tissue cell lines, B-lymphocyte derived cell lines, TREG cells, alveolar macrophages, bone marrow, bone marrow cell lines, dendritic cells, lung, mast cells, mononuclear leukocytes, peripheral blood, peritoneal macrophages, peritoneum, spleen cell lines, PBMCs, blood, colon, cytotoxic T cells, germinal center B lymphocytes, hematopoietic progenitor cells, liver, lymph node, lymphoma cell lines, macrophage cancer cell lines, macrophages, mammary gland, mucosa, naive B cells, pre-T lymphocytes, pro-B lymphocytes, Other"
LAMP1	lysosomal-associated membrane protein 1	Plasma Membrane	other	monocyte-derived macrophages (14561735)	"bone marrow-derived macrophages (9060470), resident peritoneal macrophages (16407308), J774 cell line (11149929)"	"cervical cancer cell lines, epithelial cell lines, fibroblasts, embryonic cell lines, kidney cell lines, leukemia cell lines, colorectal tissue, lung, B lymphocytes, HUVEC cells, breast cancer cell lines, eye cell lines, macrophages, monocyte-derived macrophages, neuroblastoma cell lines, neutrophils, B-lymphocyte derived cell lines, T lymphocytes, epithelial cells, fibroblast cell lines, hepatoma cell lines, leukocyte cell lines, lymphoma cell lines, peripheral blood, prostate cancer cell lines, AT2 cells, B lymphoblastoid cell lines, Langerhans cells, Tc17/Tc1 cells, adenoma, blood platelets, bone cancer cell lines, carcinoma cell lines, colon cancer cell lines, colorectal neoplasm, cytotoxic type 1 T lymphocytes, dendritic cells, endothelial cells, epithelial tissue, intestine, lamina propria, liver, lung cancer cell lines, lung cell lines, lymphoblastoid cell lines, mast cells, melanoma cell lines, monocyte-derived dendritic cells, mucosa, mucosa cells, placenta, plasma, squamous cell carcinoma cell lines, tonsil, urine, Other"	"leukocyte cell lines, bone marrow cell lines, fibroblast cell lines, hematopoietic cell lines, fibroblasts, hepatoma cell lines, neuroblastoma cell lines, bone marrow, cells, kidney tissue, liver, liver tissue, macrophages, astrocytes, bone marrow-derived macrophages, brain, brain tissue, dendritic cells, embryonic cell lines, heart tissue, hippocampal neurons, peritoneal macrophages, skin cell lines, spleen cell lines, spleen tissue, Other"
LASP1	LIM and SH3 protein 1	Cytoplasm	transporter	not known	not known	"breast cancer cell lines, kidney cell lines, cervical cancer cell lines, HUVEC cells, blood platelets, brain tissue, embryonic cell lines, epithelial cell lines, fibroblasts, granulocytes, heart tissue, kidney tissue, liver tissue, lung tissue, peripheral blood, smooth muscle cells"	"fibroblast cell lines, striatum, aorta, mesenchyme, myeloid progenitor cells, naive T lymphocytes"
LCP1	lymphocyte cytosolic protein 1 (L-plastin)	Cytoplasm	other	not known	not known	"leukemia cell lines, plasma, prostate cancer cell lines, breast, hair follicle, megakaryocytes, myeloma cell lines, prostatic carcinoma, scalp, sputum, tear, tumor tissue, urine, Other"	lung
LGALS1	"lectin, galactoside-binding, soluble, 1"	Extracellular Space	other	not known	bone marrow-derived macrophages (9637533)	"prostate cancer cell lines, endothelial cell lines, cervical cancer cell lines, lymphoma cell lines, thymus gland, neuroblastoma cell lines, bone marrow cell lines, gonadal cell lines, regulatory T lymphocytes, tonsil, cerebrospinal fluid, decidual natural killer cells, endothelial cells, epithelial cells, follicular dendritic cells, intestinal cell lines, lymph node, melanoma, mesenchymal stem cells, ovary, pancreatic adenocarcinoma, peripheral blood natural killer cells, stromal cell lines, EC-RF24 cells, HUVEC cells, Hodgkin and Reed-Sternberg cells, blood cells, bone marrow, bone marrow cells, brain cancer cell lines, carcinoma cell lines, dendritic cells, embryonic stem cells, epithelial tissue, fibroblast-like synoviocytes, hematopoietic progenitor cells, knee, left foot, left scapula, leukemia cell lines, liver tissue, lung cell lines, mast cells, melanoma cell lines, myeloma cell lines, neutrophils, peripheral blood leukocytes, plantar skin, plasma cells, skeletal muscle cells, synovial membrane, temporal lobe, thymic epithelial cells, tumor, urine, Other"	"lymphoma cell lines, bone marrow cell lines, brain, dendritic cells, fibroblast cell lines, frontal cortex, implantation site, sex cords, spleen, stromal cell lines, testis, uterus, B lymphocytes, T lymphocytes, astrocytes, bone marrow, cytotoxic T cells, epithelial cell lines, femur, gastrocnemius, heart ventricle, lacrimal gland, leukocyte cell lines, lumbar spinal cord, lymph node, macrophages, mast cells, motor neurons, naive T lymphocytes, red pulp, splenocytes, subventricular zone"
LGALS3	"lectin, galactoside-binding, soluble, 3"	Extracellular Space	other	"monocytes (19834619), monocyte-derived macrophages (19834619)"	"immortalized macrophage-like cell lines  (11937564), J774 cell line (11149929), RAW264.7 cell line (17142454)"	"breast cancer cell lines, colonic mucosa, epithelial cells, cervical cancer cell lines, lymphoma cell lines, crypt, epithelial cell lines, pituitary gland, cells, colon cancer cell lines, embryonic cell lines, kidney cell lines, pituitary gland adenoma, tonsil, bone cancer cell lines, colon, endothelial cell lines, heart, neutrophils, thymus gland, bone marrow, carcinoma, carcinoma cell lines, placenta, skin, testis, blood, follicular dendritic cells, muscle, peripheral blood leukocytes, thyroid tumor cell lines, B-lymphocyte derived cell lines, adenohypophysis, adrenal gland, hyperplastic polyp, kidney, leukemia cell lines, leukocyte cell lines, leukocytes, liver, lung, lymph node, mast cells, monocyte-derived macrophages, myeloma cell lines, naive B cells, ovarian cancer cell lines, pancreatic tissue, papillary thyroid carcinoma, pituitary cancer cells, prostate cancer cell lines, skin cell lines, spleen, stomach, uterus, B lymphocytes, HUVEC cells, T-cell zone, acute myeloid leukemia blast cells, adrenal gland tissue, bladder cancer cell lines, bone marrow stromal cells, brain tissue, breast cell lines, colonic tissue, dendritic cells, diffuse large B-cell lymphoma, endocrine cell lines, epithelial tissue, fibroblast-like synoviocytes, fibrocytes, germinal center, heart tissue, hepatic stellate cells, hepatoma cell lines, intestine, kidney tissue, knee, lung cancer cell lines, macrophages, mantle layer, melanoma cell lines, memory B cells, memory T lymphocytes, multiple myeloma cells, ovarian tissue, pancreas, pancreatic adenocarcinoma, peripheral blood, peripheral blood monocytes, plasma, plasma cells, prostatic carcinoma, prostatic tissue, regenerative nodule, skeletal muscle, small intestine tissue, spinal cord, spleen tissue, stomach tissue, synovial membrane, tear, testicular tissue, thymic epithelial cells, thymus tissue, thyroid gland tissue, tracheal tissue, tumor cells, urine, Other"	"chondrocytes, fibroblast cell lines, collecting tubule, epithelial tissue, metatarsal bone, dendritic cells, forearm, growth plate, humerus, spleen, cornea, epithelial cells, metanephros, naive T lymphocytes, natural killer cells, thymic epithelial cells, uterus, bone marrow cell lines, cells, cortical tubule, decidual cells, endothelial cell lines, hematopoietic cell lines, hepatic stellate cells, kidney, liver, macrophage cancer cell lines, pathological cyst, phagocytes, renal cortex, skin, spinal cord, spleen cell lines, thymic reticulum, thymus cortex, thymus medulla, trophoblast cells, visceral yolk sac, B lymphocytes, Kupffer cells, bile duct, bone, cervical cancer cell lines, chondro-osseous junction, deep cortex of kidney, femur, hematopoietic progenitor cells, leukocyte cell lines, lung, lymphoma cell lines, macrophages, mammary gland, medullary collecting duct, nephrogenic zone, ossification zone, papilla, primary ossification center, stroma, subcapsular cortex of thymus, superficial cortex of kidney, thymus gland, thymus tissue, ureteric bud branch, urothelium, yolk sac"
MAPRE1	"microtubule-associated protein, RP/EB family, member 1"	Cytoplasm	other	not known	not known	"colon cancer cell lines, fibroblast cell lines, kidney cell lines, bone cancer cell lines, brain cancer cell lines, carcinoma cell lines, cervical cancer cell lines, embryonic cell lines, epithelial cell lines, squamous cell carcinoma cell lines, acute myeloid leukemia blast cells, bone marrow, brain, colon, esophageal squamous cell carcinoma, forearm, heart, hepatoma cell lines, kidney, leukemia cell lines, leukocytes, liver, lung, lymphoma cell lines, ovary, pancreas, placenta, prostate gland, skeletal muscle, skin, small intestine tissue, spleen, testis, thymus tissue, Other"	"fibroblast cell lines, brain, dorsal root ganglion cells, epithelial cell lines, fibroblasts, frontal cortex, kidney cell lines, brain tissue"
MDH2 (includes EG:17448)	"malate dehydrogenase 2, NAD (mitochondrial)"	Cytoplasm	enzyme	not known	not known	"breast cancer cell lines, cervical cancer cell lines, heart, heart tissue, leukemia cell lines, mesenchymal stem cells, pancreas, urine, Other"	"bone marrow cell lines, brain, cerebral cortex, cortical astrocytes, epithelial cells, fibroblast cell lines, gonadal cell lines, hematopoietic cell lines, Other"
MYL6	"myosin, light chain 6, alkali, smooth muscle and non-muscle"	Cytoplasm	other	not known	not known	"smooth muscle, heart tissue, cervix, fibroblast cell lines, hepatoma cell lines, neuroblastoma cell lines, smooth muscle cells, aorta, artery, bone marrow cell lines, fibrosarcoma cell lines, hepatocytes, intestine, left foot, leukemia cell lines, lymphoma cell lines, melanoma, myometrium, nasopharyngeal carcinoma cells, ovarian cancer cell lines, plantar skin, rectum, rhabdomyosarcoma cell lines, stromal cell lines, tear, uterus, vascular smooth muscle cells, vein, Other"	"liver, bladder tissue, fibroblasts, fibrosarcoma cell lines, forebrain, hippocampus, lung, lung cancer cell lines, skeletal muscle, Other"
NPC2 (includes EG:10577)	"Niemann-Pick disease, type C2"	Extracellular Space	other	not known	J774 cell line (11149929)	"thyroid gland, brain tissue, fibroblasts, papillary carcinoma, Dorsolateral prefrontal cortex, anaplastic thyroid carcinoma, breast cancer cell lines, cerebrospinal fluid, follicular carcinoma, gall bladder, granulosa cells, kidney tissue, liver tissue, papillary carcinoma cell, testicular tissue, thyroid gland tissue, urine, Other"	"fibroblasts, epididymis, astrocytes, bone marrow cell lines, brain, gonadal cell lines, hematopoietic cell lines, intestinal mucosa, leukocyte cell lines, mammary gland tissue, testis"
NUCB1	nucleobindin 1	Cytoplasm	other	not known	not known	"cervical cancer cell lines, neuroblastoma cell lines, B-lymphocyte derived cell lines, HUVEC cells, T lymphocytes, carcinoma cell lines, intraductal papillary mucinous neoplasm, leukocyte cell lines, lung cancer cell lines, lymphoma cell lines, prostatic carcinoma, tear, urine, Other"	"pituitary cancer cell lines, embryonic cell lines, fibroblast cell lines, kidney cell lines, pituitary cells"
P4HB	"prolyl 4-hydroxylase, beta polypeptide"	Cytoplasm	enzyme	"monocytes (18390756), monocyte-derived macrophages (19834619)"	J774 cell line (11149929)	"leukemia cell lines, breast cancer cell lines, colon cancer cell lines, fibroblasts, cervical cancer cell lines, epithelial cell lines, hepatoma cell lines, skin, coronary artery, cytotrophoblastic cells, embryonic cell lines, eye, kidney cell lines, monocyte-derived macrophages, placenta, urine, HUVEC cells, RPE cells, adventitia, breast tissue, carcinoma, carcinoma cell lines, dermal fibroblasts, epithelial cells, eye cell lines, fibroblast-like synoviocytes, fibrocytes, goblet cells, heart tissue, knee, lung, lung cancer cell lines, lymphoma cell lines, microvascular endothelial cells, monocyte-derived dendritic cells, monocytes, neural precursor cells, neurosensory retina, plasma, smooth muscle cells, stromal fibroblast cells, synovial membrane, tracheobronchial tissue, Other"	"bone marrow cell lines, hematopoietic cell lines, leukocyte cell lines, fibroblast cell lines, fibroblasts, kidney cell lines, liver, lumen, pancreas, Other"
PFN1	profilin 1	Cytoplasm	other	not known	not known	"breast cancer cell lines, breast cell lines, breast tissue, basal cells, breast carcinoma, cervical cancer cell lines, fibrosarcoma cell lines, leukocytes, luminal epithelial cells, HUVEC cells, brain, breast milk, colon, colon cancer cell lines, colostrum, dendritic cells, dermis, embryonic cell lines, embryonic stem cells, epithelial cell lines, fibroblast-like synoviocytes, fibroblasts, heart, hepatocytes, intraductal papillary mucinous neoplasm, kidney, kidney cell lines, knee, liver, lymphoma cell lines, memory T lymphocytes, mesenchymal stem cells, microvascular endothelial cells, nasopharyngeal carcinoma cells, ovary, pancreas, placenta, plasma, prostate gland, skeletal muscle, skin, small intestine, spleen, synovial membrane, tear, testis, thymus gland, urine, Other"	"brain, cerebellum, liver tissue, olfactory bulb, spinal cord, brain tissue, cerebral cortex, cervical cancer cell lines, forebrain, heart, hindlimb bud, intestine, kidney, kidney tissue, lung tissue, mesencephalon, somites, spleen tissue, thymus tissue, Ammon's horn, Purkinje cells, adipose tissue, astrocytes, atrium, blood platelets, branchial arch, cerebrum, common lymphoid progenitor cells, dentate gyrus, embryonic stem cells, epithelial tissue, forelimb bud, granule cell layer, granule cells, heart tissue, hippocampus, interneurons, islets of Langerhans, liver, mitral cell layer, molecular layer, motor neurons, ovarian tissue, pancreatic cancer cell lines, placental tissue, pons, rhinencephalon, spleen, spleen cell lines, striatum, testicular tissue, thymus gland, tongue, uterus, Other"
PGD	phosphogluconate dehydrogenase	Cytoplasm	enzyme	not known	not known	"neutrophils, neuroblastoma cell lines, cervical cancer cell lines, colon cancer cell lines, epithelial cells, heart tissue, hepatocellular carcinoma, neuroblastoma, prostate gland, sputum, tear, urine, Other"	not known
PKM2	"pyruvate kinase, muscle"	Cytoplasm	kinase	not known	not known	"brain cancer cell lines, red blood cells, bone marrow, cervical cancer cell lines, lung carcinoma, neutrophils, plasma cells, B lymphocytes, adenocarcinoma cell lines, astrocytes, blood platelets, carcinoma cell lines, cerebrospinal fluid, colon cancer cell lines, embryonic stem cells, endocrine cell lines, epithelial cells, fibroblast-like synoviocytes, heart tissue, hepatocellular carcinoma, intraductal papillary mucinous neoplasm, keratinocytes, knee, memory B cells, myeloma cell lines, neuroblastoma cell lines, nipple aspirate fluid, non-small-cell lung cancer cells, pancreatic adenocarcinoma, plasma, stromal cells, synovial membrane, tear, tonsil, tracheobronchial tissue, urine, vastus lateralis muscle, Other"	"erythroid progenitor cells, liver, bone marrow cell lines, adipocytes, brain, cells, dendritic cell lines, fibroblast cell lines, hematopoietic cell lines, nervous tissue cell lines, sciatic nerve, uterus, Other"
